fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
STEFAN	NA	SCHULZ	NA	2001	9	12
BERND	NA	SEIDEL	NA	2007	2	16
THORSKTEN	NA	MARTIN	NA	1995	11	15
GERHARD	NA	MEYER	NA	1941	11	25
HANS	NA	SCHULZE	NA	1972	11	27
KARL	NA	HOFFMANN	NA	1944	10	21
DETLEF	NA	SCHMIDT	NA	1937	4	6
MICHAEL	NA	SCHAEFER	NA	1991	5	30
ANDREAS	NA	MAYER	NA	1959	12	24
HEINZ	NA	LEHMANN	NA	1948	9	25
MARTIN	NA	KUEHN	NA	1959	10	8
BERND	NA	FRANK	NA	1933	1	30
WERNER	NA	KRAEMER	NA	1938	1	1
THOMAS	NA	HUBER	NA	1966	11	29
RAINER	NA	KOCH	NA	1972	8	18
JOERG	NA	KELLER	NA	1947	6	26
KLAUS	NA	SCHUBERT	NA	1955	10	6
WOLFGANG	NA	SCHMIDT	NA	2005	6	30
MANFRED	ANDREAS	SCHULZ	NA	1998	4	9
WALTER	NA	SCHMIDT	NA	1969	5	2
KLAUS	NA	SCHUMACHER	NA	1929	6	18
HORST	NA	RICHTER	NA	1930	5	27
HORST	NA	SCHNEIDER	NA	1983	1	3
ANDRE	NA	MUELLER	NA	1976	2	25
MATTHIAS	NA	HAAS	NA	1955	8	8
GERHARD	NA	FRIEDRICH	NA	1987	2	10
GUENTHER	NA	STEIN	NA	1975	8	14
MARTIN	NA	HOFFMANN	NA	1971	1	19
HEINZ	NA	BOEHMR	NA	1938	12	20
GERHARD	NA	ERNSR	NA	1980	12	16
WOLFGANG	NA	VOGEL	NA	1995	1	4
FRIEDRICH	NA	WEBER	NA	1948	8	24
DIETER	NA	WINKLER	NA	1964	11	3
GERHARD	NA	ERNST	NA	1980	12	16
HANS	NA	SCHULZE	NA	1972	11	28
WILFRIED	NA	HOFFMANN	NA	1994	10	20
ALEXANDER	NA	FRIEDRICH	NA	1968	8	14
FRANK	NA	BERGMANN	NA	1998	11	8
HANS	NA	SCHMIDT	NA	1935	6	25
THOMAS	NA	MAIER	NA	1941	4	5
CHRISTIAN	NA	KOERTIG	NA	1967	9	11
SIEGFRIED	NA	MUELLER	NA	1925	9	26
CHRISTIAN	NA	MUELLEPR	NA	1974	8	9
HEINZ	NA	SCHULZ	NA	1971	9	23
KARL	NA	KLEIN	NA	2002	6	20
FRANK	NA	KRUEGER	NA	1997	2	10
MICHAEL	NA	VOGEL	NA	1967	8	26
MICHAEL	NA	MEYER	NA	1988	1	31
WERNER	NA	SCHMITZ	NA	1968	8	14
THOMAS	NA	MOELLER	NA	1930	1	18
STEFAN	NA	BRAUN	NA	1947	12	30
THOMAS	NA	JUNG	NA	1949	9	30
KARL	NA	SIMON	NA	1954	5	30
KURT	NA	FISCHER	NA	1968	4	7
FRIEDRICH	NA	SCHUBERT	NA	1930	8	15
GUENTHER	NA	THOMAS	NA	1957	2	14
GUENTHER	NA	HOFMANN	NA	1942	8	27
BERND	NA	WOLF	NA	1940	8	30
KLAUS	NA	MEIER	NA	1983	11	10
KARL	NA	KLEIBN	NA	2002	6	29
MANFRED	NA	WOLF	NA	1954	5	24
WOLFGANG	NA	ENGEL	NA	1936	12	27
HARALD	NA	WEBER	NA	1977	6	1
ANDREAS	NA	ZIEGLER	NA	1962	12	6
MICHAEL	NA	MYER	NA	1988	1	31
FRANK	NA	MUELLER	NA	1978	5	20
BERND	NA	FISCHER	NA	1947	3	20
MICHAEL	NA	KELLER	NA	1965	3	19
MARTIN	NA	BAUMANN	NA	1939	4	25
WALTER	NA	SCHROEDER	NA	1998	3	28
FRANK	NA	MUELLER	NA	2000	6	22
HORST	NA	GUENTHER	NA	1926	7	2
UWE	NA	KRAEMER	NA	1981	9	9
ULRICH	NA	WEISS	NA	1992	7	19
HELMUT	NA	ZIEGLER	NA	1971	8	11
PETER	NA	BECKER	NA	1960	9	5
SVEN	NA	STEIN	NA	1960	10	14
WOLFGANG	NA	SCHULTE	NA	1963	9	4
MANFRED	NA	SCHAEFER	NA	1983	3	11
STEFAN	NA	MEYER	NA	1960	2	23
RAINER	NA	ALBRECHT	NA	1976	11	10
FLORIAN	NA	KLEIN	NA	1928	6	21
FRANK	NA	BERGKANN	NA	1998	11	8
BERNHARD	NA	WERNER	NA	1974	2	14
KLAUS	NA	MOELLER	NA	1989	3	10
INGO	NA	VOGEL	NA	1976	5	22
GERD	NA	LUDWIG	NA	1953	12	25
MARTIN	NA	HOFFMANN	NA	1935	11	26
SVEN	NA	HUBER	NA	1951	10	1
NORBERT	NA	BECK	NA	1980	10	2
UWE	NA	WEBER	ENGEL	1952	7	7
CARSTEN	NA	SCHMITT	NA	2001	6	27
ANDRE	NA	MUELLER	NA	1976	1	25
MANFRED	NA	MEYER	NA	1959	10	12
JOHANNNES	NA	SCHULZ	NA	1974	1	17
UWE	NA	ALBRECHT	NA	1967	1	8
KLAUS	NA	BECKER	NA	1956	11	1
DETLEF	NA	LANGE	NA	1970	10	19
WERNER	NA	LANGE	NA	1997	3	26
WERNER	NA	RICHTER	NA	1984	8	28
ULRICH	NA	MUELLER	NA	1962	6	19
MARCEL	NA	SCHMITZ	NA	1933	6	29
ANDREAS	NA	MEIER	NA	1932	12	30
FRANK	NA	SCHMIDT	NA	1988	12	22
THORSTEN	NA	MARTIN	NA	1995	11	15
MARKUS	NA	SAUER	NA	2003	6	5
WOLFGANG	NA	WEBER	NA	1954	4	8
PETER	NA	FUCHS	NA	1972	9	12
MARKUS	NA	MUELLER	NA	1937	11	16
DIETER	NA	SCHNEIDER	NA	1968	8	21
CHRISTIAN	NA	MUELLER	NA	1974	8	9
FRANK	NA	SIMON	NA	1935	9	20
RUDOLF	NA	WOLFF	NA	1975	11	11
DIETER	KLAUS	SCHMIDT	NA	1950	8	20
JUERGEN	NA	FUCHS	NA	2007	9	20
HANS	NA	SCHWARZ	NA	1926	1	18
ERNST	NA	SCHROEDER	NA	1999	7	10
GUENTHER	FRIEDRICH	WOLF	NA	1975	4	23
HEINZ	NA	WAGNER	NA	1960	6	24
KLAUS	NA	HARTMANN	NA	1992	11	1
GERHARD	NA	FRIEDRICH	NA	1957	2	10
CARSTEN	NA	BRANDT	NA	1938	1	14
CHRISTIAN	NA	GROSS	NA	2008	4	7
JAN	NA	SCHULZ	NA	1938	9	6
JOHANNES	NA	SCHULZ	NA	1974	1	17
KLAUS	NA	HOFFMANN	NA	1966	8	1
ROLBF	NA	NEUMANN	NA	1967	3	29
PETER	NA	SCHUBERT	NA	1961	12	3
LARS	NA	MAYER	NA	1929	6	25
STEFAN	NA	HOFFMANN	NA	2000	4	15
UWE	NA	GROSS	NA	1982	5	27
JENS	NA	WEBER	NA	1959	7	24
STEFAN	NA	MUELLER	NA	2004	4	20
DIETER	NA	SCHNNIDER	NA	1968	8	21
HORST	NA	MEIER	NA	1977	6	6
GUENTHER	NA	SCHMIDT	NA	2006	10	29
KLAUS	NA	SCHMIDT	SCHMIDT	1997	12	15
MICHAEL	NA	KUEHN	NA	1943	10	9
PETER	NA	FRANKE	NA	1973	8	19
HEINRICH	NA	SCHMITZ	NA	1957	5	31
VOLKER	NA	GROSS	NA	1981	8	2
KLAUS	NA	SCHMITT	NA	1980	4	23
WILHELM	NA	MARTIN	NA	1964	12	22
THOMAS	NA	SCHUSTER	NA	1978	7	25
ROLF	NA	NEUMANN	NA	1967	3	29
OLIVER	NA	HERRMANN	NA	1964	4	5
PETERS	NA	BECKER	NA	1960	9	5
BERND	NA	MUELLER	NA	1944	11	16
MANFRED	NA	SCHAEFER	NA	2007	7	13
MARTIN	NA	SCHMIDT	NA	1974	2	6
THORSTEN	NA	FISCHER	NA	1937	7	19
STEFAN	NA	MUELLER	NA	1957	6	1
HARALD	NA	SCHNEIDER	NA	1983	5	17
INGO	NA	FUCHS	NA	1941	1	15
STEFAN	NA	KOEHLER	NA	1977	4	27
WERNIER	NA	KOERTIG	NA	1965	11	28
THORSTEN	NA	KRAUSE	NA	1975	6	19
HARALD	NA	WEBER	NA	1977	6	2
CHRISTIAN	ALEXANDER	HERRMANN	NA	1982	7	9
BENJAMIN	NA	MUELLER	NA	2005	4	20
WOLFGANG	NA	MUELLER	NA	1959	2	8
DIETER	NA	MEYER	NA	1967	6	16
FRIEDRICH	NA	MARTIN	NA	1938	1	20
HANS	NA	BECKER	NA	1940	2	6
DIETER	NA	SCHWARZ	NA	1996	6	12
HORST	NA	MEIER	NA	1972	6	6
ROLF	NA	KOERTIG	NA	1934	9	9
GERHARD	NA	SCHWARZ	NA	1959	6	22
BAERBEL	NA	JAEGER	NA	1956	6	26
INGRID	NA	KOERTIG	NA	1960	5	6
SABINE	NA	SCHULZ	NA	1996	5	15
STEFANIE	NA	FISCHER	NA	1943	11	25
ANNA	NA	SCHMIDT	NA	1976	3	1
STEFANIE	NA	WEBER	NA	1964	11	24
GERDA	NA	SCHWARZ	NA	1975	12	14
SABINE	NA	HARTMANN	NA	1939	6	16
GISELA	NA	BRAUN	NA	1949	12	22
BRIGITTE	NA	JAEGER	NA	1982	12	15
INGRID	NA	FRIEDRICH	NA	1949	6	15
RENATE	NA	VOGT	NA	1956	9	17
NICOLE	NA	WEBER	NA	1947	7	2
HEIKE	NA	THOMAS	NA	1982	3	27
MARIANNFE	NA	MOELLER	NA	1961	9	17
KARIN	NA	HORN	NA	2002	6	4
ANGELA	NA	STEIN	NA	2002	8	30
GABRIELE	GISELA	MEIER	NA	1961	4	10
RENATE	NA	KRAUSE	NA	1945	12	11
MARION	NA	HOFMANN	NA	1964	5	12
UTE	NA	BRAUN	NA	1975	3	3
MONIKA	NA	WEISS	NA	1994	8	19
ANGELIKA	NA	BERGER	NA	1994	10	12
HILDEGARD	NA	POHL	NA	1985	7	11
HELGA	NA	WOLF	NA	1980	2	17
URSULA	NA	BECK	NA	1956	7	26
ERIKA	EDITH	BECKER	NA	1970	7	12
SABINE	NA	MAIER	NA	1950	4	19
HERTHA	NA	MOELLER	NA	1988	10	12
STEFANIE	NA	LANGE	NA	1978	11	10
ERIKA	NA	FRIEDRICH	NA	1928	8	19
GISELA	NA	KUHN	NA	1967	7	20
ANNA	NA	LANGE	NA	1998	3	29
RENATE	NA	ENGEL	NA	1975	2	19
ERIKA	NA	WEBER	NA	1995	2	1
MARIA	NA	SCHROEDER	NA	1955	1	11
HELGA	NA	SAUER	NA	1946	8	27
HILDEGARD	NA	MEYER	NA	1965	10	3
CHRISTINE	NA	PETERS	NA	1993	2	5
HELGA	ELFRIEDE	BERGER	NA	1989	1	18
SABINE	NA	VOGT	NA	1968	4	8
ANDREA	NA	SCHWARZ	NA	1949	6	17
KARIN	NA	MARTIN	NA	1954	10	22
HANNELORE	NA	WEBER	NA	1953	3	31
HANNELORE	NA	BAUER	NA	1952	3	23
HEIKE	NA	HARTMANN	NA	1948	12	27
ANDREA	NA	WEBER	NA	1945	5	29
SONJA	NA	FISCHER	NA	1989	7	17
ERIKA	NA	SCHMITZ	NA	1936	12	10
SABINE	ELKE	BRANDT	NA	1941	5	2
MARIA	NA	WOLF	NA	1971	11	2
ANKE	NA	KOCH	NA	1963	5	3
BRIGITTE	NA	SCHUSTER	NA	1933	2	25
ILSE	NA	SIMON	NA	1972	9	1
CLAUDIA	NA	GUENTHER	NA	1934	5	27
ANJA	NA	KLEIN	NA	1967	1	27
ILSE	NA	SCHMIDT	NA	1924	12	26
BRITTA	NA	VOGT	NA	1941	8	1
KARIN	NA	MUELLER	NA	1947	8	29
MONIKA	NA	SCHNEIDER	NA	1937	6	2
BIRGIT	NA	KOCH	NA	1970	11	24
STEFANIE	NA	WEISS	NA	1971	9	11
URSULA	BIRGIT	MUELLRR	NA	1940	6	15
RENATE	NA	SCHUTE	NA	1940	12	29
ANNA	WALTRAUD	FISCHER	NA	1958	11	27
URSULA	NA	FISCHER	NA	1995	5	21
ANDREA	NA	FISCHER	NA	1956	2	14
ANJA	NA	BRAUN	NA	1997	9	20
HEIKE	NA	BAUER	NA	2008	7	2
MONIKA	NA	FRANKE	NA	1970	1	6
ANKE	NA	WAGNER	NA	1934	8	27
ANNA	NA	LANGK	NA	1998	3	29
GABRIELE	NA	BECKER	NA	1944	1	31
GISELA	NA	BECKER	NA	1990	1	22
PETRA	NA	MEIER	NA	1969	8	15
GERTRUD	NA	WOLF	NA	1948	1	12
CHRISTINA	NA	FRIEDRICH	NA	1968	10	1
NICOLE	NA	SOMMER	NA	1929	7	29
BAERBEL	NA	MUELLER	NA	1935	2	10
MARIANNE	NA	FISCHER	NA	1941	12	8
INGRID	NA	KRAJSE	NA	1985	9	3
GERDA	NA	WERNER	NA	1982	9	25
SILKE	NA	KOEHLER	NA	1967	2	14
INGEBORG	NA	SCHMIDT	NA	1965	9	30
ANDREA	NA	SCHMIDT	NA	1966	2	21
JUTTA	NA	ROTH	SCHMITT	1995	2	4
ELKE	NA	MUELLER	NA	1985	12	14
GISELA	NA	MEYER	NA	1939	6	3
HANNELORE	NA	KOERTIG	NA	1935	3	11
SUSANNE	NA	WEBER	NA	1997	11	25
BAERBEL	NA	WOLF	NA	1938	3	20
GERTRUD	NA	MEYER	NA	1963	9	18
HANNELORE	NA	MUELLER	NA	1934	7	31
EDITH	NA	KRAUSE	NA	1937	2	28
ANTJE	NA	LUDWIG	NA	1935	4	18
URSULA	NA	FISCHER	NA	1950	9	1
SABINE	NA	MUELLER	NA	1968	11	26
URSULA	NA	RICHTER	NA	1947	3	30
JUTTA	NA	KAISER	NA	1971	1	26
GISELA	NA	SCHROEDER	NA	1929	2	4
HELGA	NA	SCHNEIDER	NA	2000	4	5
MONIKA	NA	SCHULTE	NA	1980	5	30
INGE	NA	SEIDEL	NA	1949	9	4
MARION	NA	NEUMANN	NA	1982	1	18
INGEU	NA	SEIDEL	NA	1949	8	4
BRIGITTE	EDITH	PETERS	NA	1956	8	21
GERTRUD	NA	BAUMANN	NA	1926	5	26
HELGA	ANNA	LANGE	NA	1965	9	7
HELGA	NA	BRANDT	NA	1990	5	22
BRIGITTE	NA	WAGNER	SCHULZE	1978	12	11
GUDRUN	NA	MUELLER	NA	1957	10	2
IRMGARD	NA	NEUMANN	NA	1940	12	9
ELKE	NA	KOCH	NA	1935	2	5
ANJA	NA	BECKER	NA	1947	5	25
SABINE	NA	MEYER	NA	1989	5	22
MONIKA	NA	RICHTER	NA	1936	1	31
SABINE	NA	MEYER	NA	2006	3	17
RENATE	NA	HOFFMANN	NA	1930	5	3
ANGELIKA	NA	SIMON	NA	1990	6	2
MONIKA	NA	MUELLER	NA	2000	8	26
SABINE	NA	LANG	NA	1962	1	30
ANGELIKA	NA	SCHROEDER	NA	1967	3	15
INGRID	NA	HOFFMANN	NA	2005	9	18
STEFANIE	NA	WEBER	NA	1972	9	7
ANDREA	NA	FUCHS	NA	1959	11	12
ANNA	BARBARA	FUCHS	NA	1991	8	27
SABAINE	NA	OTTO	NA	1940	7	23
MANUELA	NA	WINTER	NA	1960	8	30
ERIKA	NA	WEBER	NA	1992	2	29
ELKE	NA	SAUER	NA	1954	7	4
ANGELIKA	NICOLE	FISCHER	NA	1989	10	15
SABINE	NA	GRAF	NA	1980	9	5
MARIA	NA	SCHROEDER	NA	1955	1	12
JULIA	NA	HARTMANN	NA	1996	4	29
ANGELA	NA	STEIN	NA	2062	8	30
ERIKA	SABINE	NEUMANN	NA	1999	5	6
PETRA	NA	FISCHER	NA	1979	5	22
ANDREA	NA	WEBER	NA	1945	5	20
URSULA	NA	HOFFMANN	NA	1929	5	12
URSULA	NA	BERGER	NA	1970	10	23
GABRIELE	NA	BECKER	NA	1990	3	27
HELGA	NA	KOCH	NA	1957	9	2
MONIKA	NA	KOEHLER	NA	1933	5	20
ELISABETH	NA	SCHMIDT	NA	1960	12	1
GISOELA	NA	BECK	NA	2003	4	16
ANDREA	NA	KELLER	NA	1931	6	24
BIRGIT	NA	BERGMANN	NA	2002	8	31
MARION	NA	SCHMITZ	NA	1977	5	13
CHRISTINE	NA	PETERS	NA	1993	2	6
INGEBORG	NA	SEIDEL	NA	1960	1	4
GABRIELE	NA	SAUER	NA	1972	6	1
CHRISTA	NA	SCHWARZ	NA	1965	7	13
HEIKE	NA	JUNG	NA	1932	10	12
GISELA	NA	BECK	NA	2003	4	16
PETRA	NA	GRAF	NA	1948	6	13
MARGARETE	NA	FISCHER	NA	1971	8	12
RENATE	NA	SCHULTE	NA	1940	12	29
ANDREA	NA	SCHMIDT	NA	1945	2	20
GISELA	ANGELIKA	WOLF	NA	1992	5	1
ANDREA	NA	WEBER	NA	1961	5	19
ANDREA	NA	FISCHER	NA	1931	9	7
SILVIA	NA	WERNER	NA	1995	8	21
KARIN	NA	FUCHS	NA	1961	5	7
GERTRUD	NA	BAUMANN	NA	1926	5	20
MARIA	NA	DIETRICH	NA	1979	2	6
MARTINA	NA	LEHMANN	NA	1935	7	14
KARIN	NA	BAUER	NA	1993	6	20
MONIKA	KARIN	BRANDT	NA	1940	2	18
HEIKE	NA	OTTO	FISCHER	1944	1	2
MARIA	NA	DIETTRICH	NA	1979	2	6
KARIN	NA	JUNG	NA	2007	4	9
INGRID	NA	SCHAEFER	NA	1956	10	22
GERTRUD	NA	SEIDEL	NA	1941	6	11
SABINE	NA	SCHMIDT	NA	1984	9	9
BIRGIT	NA	MUELLER	NA	1977	8	19
SONJA	NA	SCHMIDT	NA	1937	6	5
GISELA	NA	POHL	NA	1949	10	9
FRIEDA	NA	MEIER	NA	1951	6	2
ANNA	NA	ALBRECHT	NA	1964	10	22
INGRID	NA	STEIN	NA	1950	3	8
EDITH	NA	OTTO	NA	1951	5	14
MONIYKA	NA	SCHNEIDER	NA	1937	6	2
SIGRID	NA	HAHN	NA	1967	12	19
ELKE	SILKE	BAUER	NA	1994	5	29
KARIN	NA	BAUER	NA	1961	4	9
PETRA	NA	KRAUSE	NA	1969	1	17
KARINW	NA	HORN	NA	2002	6	4
FRIEDA	NA	WEBER	NA	1978	1	18
ANNA	NA	JAEGER	NA	1960	10	14
SANDRA	NA	MEYER	NA	1964	10	11
KATHRIN	NA	KOCH	NA	2005	12	1
ELISABETH	NA	WEBER	NA	1965	9	3
HANNELORE	NA	ALBRECHT	NA	1963	12	4
SILKE	NA	MUELLER	NA	1962	6	14
ANJA	URSULA	WEBER	NA	1995	6	26
SUSANNE	NA	BECKER	NA	1956	1	19
MARIA	NA	SCHAEFER	NA	1954	3	25
SABINE	NA	OTTO	NA	1940	7	23
CHRISTA	NA	KRUEGER	NA	1929	5	2
SABINE	NA	HARTMANN	NA	1943	6	16
KATHRIN	NA	VOGT	NA	1951	1	3
GERDA	NA	SCHMITZ	NA	1964	8	8
MANUELA	NA	ROTH	NA	1935	4	27
HELGA	NA	GROSS	NA	1939	5	24
JUTTA	NA	LEHMANN	SCHULZ	1974	11	7
MARIANNE	NA	MOELLER	NA	1961	9	17
URSULA	BIRGIT	MUELLER	NA	1940	6	15
MARTINA	NA	WOLF	NA	1967	3	9
RUTH	NA	BOEHM	NA	1956	4	12
ASTRID	NA	MUELLER	NA	1951	1	18
PETRA	NA	SCHMIDT	NA	1983	7	28
CHRISTAH	NA	SCHWARZ	NA	1965	7	13
EDITH	NA	SCHROEDER	NA	1924	9	27
SONJAD	NA	FISCHER	NA	1989	7	17
MARTINA	NA	GROSS	NA	1992	2	14
HELGA	ELFRIEDE	BERGER	NA	1989	1	28
ULRIKE	NICOLE	BECKRR	NA	1982	8	4
URSULA	NA	WEBER	NA	1987	7	22
PETRA	NA	KLEIN	NA	1987	3	20
"NADINE"	NA	NEUMANN	NA	1957	2	20
GABRIELE	NA	SCHNEIDER	NA	1925	6	26
ULRIKE	NICOLE	BECKER	NA	1982	8	4
ANNA	GUDRUN	ALBRECHT	NA	1948	10	30
KARIN	NA	BRAUN	NA	1974	5	27
ERNA	NA	WEBER	NA	1970	3	28
EDITH	NA	WAGNER	NA	1966	12	26
SABINE	NA	ENGEL	NA	1956	8	25
MONIKA	NA	MUELLER	NA	2000	5	26
JUTTA	NA	WEBER	KRUEGER	2007	9	28
SUSANNE	NA	RICHTER	NA	1955	11	27
SUSANNE	NA	KLEIN	NA	1969	3	15
MARION	NA	MUELLER	NA	1936	12	26
MARGARETE	NA	FISCHER	NA	2007	9	10
RENATE	NA	GUENTHER	NA	1927	3	18
HELGA	NA	SCHULZ	NA	1951	8	31
GERDA	NA	MUELLER	NA	1988	7	19
CHRISTINA	NA	SCHAEFER	NA	1949	9	16
JULIA	NA	BUSCH	NA	1944	9	12
GABRIELE	NA	MEYER	NA	2008	12	16
SUSANNE	NA	KLEIN	NA	1960	3	15
INGRID	NA	KRAUSE	NA	1985	9	3
SILKE	NA	BRAUN	NA	1973	8	2
HANNELORE	NA	BECKER	NA	1999	6	29
ILSE	NA	NEUMANN	NA	1953	5	14
BRITTA	NA	KOEHLER	NA	2001	1	12
GABRIHELE	NA	BECKER	NA	1990	3	27
SABINE	NA	SCHNEIDER	NA	1953	5	20
MARIA	NA	SCHNEIDER	NA	1981	8	8
INGE	NA	SCHREIBER	NA	1967	12	13
KARIN	NA	GUENTHER	NA	1941	8	19
