fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
CHRISTIAN	NA	BRAUN	NA	1967	6	27
MAIK	NA	MEYER	NA	1948	10	27
GUENTHER	NA	JUNG	NA	1955	11	6
STEFAN	HORST	BECK	NA	2007	9	22
PETER	NA	SCHNEIDER	NA	1940	1	16
HANS	NA	SCHNEIDER	NA	1941	12	17
WERNER	NA	SCHMITT	NA	1927	1	19
DENNIS	NA	SCHOLZ	NA	1983	7	24
DETLEF	NA	SCHULZ	NA	2000	8	12
CHRISTIAN	NA	MUELLER	NA	2005	12	12
BERND	NA	SCHMID	NA	1957	1	28
HEINRICH	CHRISTIAN	STEIN	NA	1946	6	29
ALEXANDER	NA	WALTER	NA	2008	11	7
GUENTHER	NA	BECKER	NA	1925	7	16
OLAF	NA	KAISER	NA	1941	9	3
THOMAS	NA	JUNG	NA	1987	2	9
JOACHIM	NA	SCHULZ	NA	1959	8	15
ROLF	WOLFGANG	KRAUSE	NA	1955	12	21
MAIK	NA	SCHMIDT	NA	1970	9	28
DANIEL	NA	SCHMIDT	NA	1964	11	15
JUERGEN	NA	MUELLER	NA	1929	8	26
MATTHIAS	NA	SCHNEIDER	NA	1953	3	18
OLAF	NA	WAGNER	NA	1997	6	12
JOERN	NA	KOCH	NA	1987	12	17
WOLFGANG	NA	JAEGER	NA	1952	6	5
RENE	NA	VOGT	NA	1964	1	6
DANIEL	NA	BAUER	NA	1965	3	20
JOERG	NA	KOCH	NA	2001	2	3
THORSTEN	NA	RICHTER	NA	1962	12	29
UWE	NA	SCHMIDT	NA	1982	11	26
HEINRICH	NA	MUELLER	NA	1985	6	14
SEBASTIAN	NA	SCHNEIDER	NA	2001	5	3
WERNER	NA	BECKER	NA	1994	9	21
RENE	NA	WALTER	NA	1952	3	24
RALF	NA	MEYER	NA	1971	2	26
JAN	NA	MUELLER	NA	1970	10	22
HORST	NA	WALTER	NA	1948	7	25
GUENTHER	NA	MEYER	NA	1978	5	17
OTTO	NA	POHL	NA	1938	6	5
CHRISTIAN	NA	HOFMANN	NA	1966	6	21
CARSTEN	NA	KOEHLER	NA	1969	12	14
OTTO	NA	HARTMANN	NA	2000	6	5
GUENTHER	NA	LORENZ	NA	1981	8	21
STEFAN	NA	SCHOLZ	NA	1962	1	30
MICHAEL	NA	KELLER	NA	1984	8	5
WOLFGANG	NA	HAAS	NA	1965	2	9
PHILIPP	NA	MUELLER	NA	1936	1	27
THORSTEN	NA	MOELLER	NA	1965	2	24
SVEN	NA	MUELLER	NA	1969	2	9
ANDREAS	NA	RICHTER	NA	1944	7	6
KURT	NA	BECKER	NA	1939	9	3
OLIVER	NA	MUELLRR	NA	1949	8	19
STEFAN	NA	SCHROEDER	NA	1929	8	17
DENNIS	NA	DIETRICH	NA	1944	2	24
JUERGUEN	NA	WAGNER	HOFFMANN	1970	2	25
CHRISTIAN	NA	FISCHER	NA	1935	10	6
HELMUT	JUERGEN	HUBER	NA	1986	12	29
ANDREAS	VOLKER	MAYER	NA	1964	4	11
REINHARD	NA	MUELLER	NA	1997	5	11
MARTIN	NA	SCHUBERT	NA	1948	11	20
ANDRE	NA	FRANKE	NA	2007	6	23
JOACHIM	NA	BRAUN	NA	1943	12	27
MATTHIAS	NA	MAYER	NA	1967	2	5
GUENTHER	OLAF	SCHMIDT	NA	1967	3	26
BERND	NA	HOFMANN	NA	1950	1	4
NILS	NA	BECKER	NA	1942	11	3
JOHANNES	NA	SCHAEFER	NA	1952	8	7
GUENTHER	NA	SCHMIDT	NA	1963	7	12
WILHELM	NA	WINTER	NA	1962	7	15
STEFAN	NA	SCHNEIDER	NA	1966	4	23
WOLFGANG	NA	SCHMIDT	NA	1975	7	1
UWE	NA	LUDWIG	NA	1936	2	22
ERNST	NA	SCHULZ	NA	1926	6	2
MARTIN	NA	KRAUS	NA	1986	7	9
BERND	NA	MAIER	NA	1930	4	17
WALTER	NA	JUNG	NA	1996	10	26
MANFRED	NA	BERGMANN	NA	1964	10	15
BERND	NA	MUELLER	NA	2003	9	8
ANDREAS	NA	WAGNER	NA	1944	1	26
SVEN	NA	SCHMIDT	NA	1935	12	15
GUENTHER	NA	WEBER	NA	1960	7	6
MICHAEL	NA	BECKER	NA	1942	3	26
MICHAEL	NA	SCHMITZ	NA	2002	5	10
BERND	NA	BECKER	NA	1944	7	18
HERMANN	NA	WOLF	NA	1955	1	30
THOMAS	NA	BAUER	NA	1931	3	25
JOERG	NA	KRAUSE	NA	1984	4	11
HEINZ	NA	GROSS	NA	1940	8	16
PETER	NA	SEIDEL	NA	1961	10	26
STEFAN	NA	SCHWARZ	NA	1963	10	29
ROBEFRT	NA	WEBEE	NA	1926	6	16
HANS	NA	SCHMID	NA	1963	2	25
STEFAN	UWE	WAGNER	NA	1936	10	25
OLIVER	NA	SCHAEFER	NA	1977	9	1
ANDRE	NA	SCHULZE	NA	2000	10	29
WERNER	NA	WALTER	NA	2002	12	31
HARALD	NA	PETERS	NA	1966	4	16
KLAUS	NA	SCHULZ	NA	1927	4	25
KARL	NA	HOFFMANN	NA	1985	2	11
JAN	NA	MAYER	NA	1957	2	6
ERNST	NA	WOLFF	NA	1943	9	26
RALF	NA	HAHN	NA	1997	2	7
RAINER	NA	MUEGLLER	NA	1961	7	6
GERHARD	NA	WALTER	NA	1979	12	3
MATTHIAS	NA	KOERTIG	NA	1954	9	11
MICHAEL	NA	ALBRECHT	NA	1963	11	22
WOLFGANG	HANS	HAHN	NA	1967	8	11
FRANK	NA	LEHMANN	NA	1951	8	18
WERNER	NA	LUDWIG	NA	1937	12	21
CHRISTIAN	NA	HORN	NA	1950	7	13
PETER	NA	KOERTIG	NA	1991	4	27
MARCO	NA	LEHMANN	NA	1944	7	18
THOMAS	NA	STEIN	NA	1938	12	19
MANFRED	NA	SCHMITT	NA	1931	7	15
MANFRED	NA	WERNER	NA	1954	3	14
OLIVER	NA	ZIMMERMANN	NA	1960	11	13
HORST	NA	SCHMIDT	NA	1952	9	27
THOMAS	NA	SCHMIDT	NA	1971	5	9
MICHAEL	NA	SCHWARZ	NA	1972	3	27
KARL	NA	MAIER	NA	1964	11	29
MANFRED	NA	WEBER	NA	1934	2	9
SVEN	NA	KRUEGER	NA	1992	1	22
HEINZ	NA	POHL	NA	1992	8	6
HANS	NA	SCHULTE	NA	1964	10	1
ROBERT	NA	SCHROEDER	NA	2001	12	64
JOACHIM	NA	MARTIN	NA	2006	5	28
HEINRICH	CHRISTIAN	STEIN	NA	1946	6	28
OLIVER	NA	SCHREIBER	NA	1957	5	15
PETER	NA	GROSS	NA	1980	4	21
PETER	NA	WINKLER	NA	1986	12	14
HARALD	NA	BAUER	NA	1986	1	5
THOMAS	NA	ROTH	NA	1973	3	25
ANDREAS	NA	SCHULTE	NA	1962	2	18
KLAUS	NA	SCHROEDER	NA	1969	7	29
ANDRE	NA	SCHREIBER	NA	1981	9	23
HEINRICH	NA	WEBER	NA	2008	5	30
ROBERT	NA	LANG	NA	1946	8	16
STEFAN	NA	ENGEL	NA	1951	10	15
CHRISTIAN	NA	MUELLER	NA	1973	5	25
HERMANN	NA	RICHTER	NA	1995	1	31
ALFRED	NA	FISCHER	KOEHLER	1939	11	10
PAUL	NA	LEHMANN	NA	1968	5	27
THORSTEN	NA	MUELLER	NA	1969	9	9
MATTHIAS	NA	HUBER	NA	1955	12	10
MARCO	NA	HUBER	NA	1942	12	27
KLAUS	NA	SCHROEDER	NA	1993	12	29
CHRISTIAN	NA	GROSS	NA	1932	12	7
HOLGER	HEINRICH	FUCHS	NA	1929	12	2
CHRISTIAN	RENE	DIETRICH	NA	1952	7	12
MICHAEL	NA	WALTER	NA	1970	7	2
JOACHIM	CHRISTIAN	WAGNER	NA	1999	12	8
ULRICH	NA	SCHMITT	NA	1961	3	22
RALF	NA	WALTER	NA	1966	7	21
GUENTHER	HELMUT	BRAUN	NA	1950	19	5
JAN	NA	SAIER	NA	1939	9	22
GUENTHER	NA	ERNST	NA	1966	11	21
WOLFGANG	NA	MOELLER	NA	1965	5	22
PETER	NA	HOFFMANN	NA	1974	1	26
UWE	NA	KAISER	NA	2003	3	19
MICHAEL	NA	MUELLER	NA	1975	3	9
MANFRED	NA	HUBER	NA	1933	1	23
VOLKER	NA	SCHOLZ	NA	1976	9	8
WILHELM	NA	LEHMANN	NA	1937	10	4
ANDREAS	NA	ZIMMERMANN	NA	1967	11	28
MATTHIAS	NA	BRAUN	NA	1943	9	7
HORST	GERGARD	KOCH	NA	1957	2	6
CARSTEN	NA	FUCHS	NA	2005	8	4
WERNER	MICHAEL	HUBER	NA	1994	2	8
GUENTHER	NA	SCHMIDT	NA	1947	3	25
CHRISTIAN	NA	HOFFMANN	NA	1968	8	20
OLAF	NA	SCHNEIDER	NA	1981	11	18
OLIVER	NA	KRAUSE	NA	1993	10	21
WILHELM	NA	BRAUN	NA	1996	3	17
HELMUT	NA	SCHNEIDER	NA	1939	1	20
NILS	NA	WEBER	NA	1944	10	28
NORBERT	NA	SCHULTE	NA	1990	5	23
HANS	NA	MEYER	NA	1973	9	10
PETER	NA	SCHMIDT	NA	1979	1	8
WILHELM	NA	MUELLER	NA	1986	2	2
ANDREAS	NA	MAYER	NA	1961	8	7
PETEIR	NA	KOEHLER	NA	1952	10	17
HELMUT	NA	MAYER	NA	1965	7	23
THOMAS	NA	BOEHM	NA	1964	1	10
ERNST	NA	BRAUN	NA	1964	7	26
PETER	NA	KRAUS	NA	1957	6	3
JUERGEN	NA	MUELLER	NA	1985	6	23
THORSTEN	NA	KOCH	NA	1939	13	19
ALEXANDER	NA	ROTH	NA	1934	12	1
THORSTEN	NA	KRUEGER	NA	1940	8	20
HERMANN	NA	LORENZ	NA	1953	10	17
THOMAS	NA	SCHAEFER	NA	1948	8	2
ANDRE	NA	SCHNEIDER	NA	1934	4	11
MICHAEL	NA	MUELLER	NA	1973	3	2
MANFRED	NA	HARTMANN	NA	1996	8	22
THOMAS	NA	SCHNEIDER	NA	1997	1	20
KLAUS	NA	SCHMIDT	NA	1994	1	31
PAUL	NA	MARTIN	NA	2008	2	26
UWE	THOMAS	GROSS	NA	1963	12	18
THOMAS	NA	SCHMID	NA	1993	3	5
ANDREAS	NA	WEBER	NA	1967	2	21
ERWIN	ROLF	ZIMMERMANN	NA	1995	10	28
PETER	NA	HARTMANN	NA	1957	2	19
MICHAEL	NA	WEBER	NA	1962	11	10
JUERGEN	NA	WOLFF	NA	1939	7	24
ANDREAS	NA	KRUEGER	NA	1967	13	10
KLAUS	NA	BAUER	NA	2000	5	15
MICHAEL	NA	SCHMIDT	NA	1944	5	20
FRANK	NA	FRANKE	NA	1929	5	17
STEFAN	NA	BAUER	NA	2004	12	19
ROELF	NA	SCHAEFER	NA	1939	7	22
STEFAN	NA	HUBER	NA	1933	5	27
WILHELM	NA	SCHMIDT	NA	1952	5	15
SVEN	PETER	WEBER	NA	1964	11	17
WOLFGANG	NA	WEISS	NA	1943	12	13
DANIEL	NA	HOFMANN	NA	1978	11	15
ANDREAS	NA	MAYER	NA	1940	6	21
WERNER	NA	MOELLER	NA	1946	6	7
PETER	NA	MUELLER	NA	1950	4	2
WOLFGANG	NA	MEYER	NA	1977	10	2
PETER	UWE	KLEIN	NA	1962	4	25
HEIKO	NA	SCHNEIDER	NA	1931	8	24
PETER	NA	ALBRECHT	NA	1941	2	15
JOACHIM	NA	SCHULZ	NA	1947	4	10
JOACHIM	NA	SCHMIDT	NA	1986	4	23
ALEXANDER	NA	BAUMANN	NA	1957	9	7
HANS	NA	WALTER	NA	1964	4	12
HARALD	NA	JUNG	NA	1952	8	28
HORSST	NA	KUHN	NA	1959	12	4
STEFAN	NA	PETERS	NA	1999	5	14
WALTER	NA	HOFFMANN	NA	1968	1	22
WILHELM	NA	LUDWIG	NA	1997	3	23
BERNHD	NA	KRUEGER	NA	1968	5	17
CARSTEN	NA	MARTIN	NA	1990	3	2
JOERG	NA	WERNER	NA	1961	7	22
NORBERT	NA	BERGMANN	NA	1964	5	14
JENS	NA	SCHNEIDER	NA	1963	7	28
MARTIN	NA	BECKER	NA	1931	9	23
SIEGFRIED	ANDREAS	BRAUN	NA	1955	2	8
MICHAEL	NA	HOFMANN	NA	1931	7	1
JAN	NA	BECKER	NA	1984	3	28
WERNMER	NA	KUEHN	NA	1977	6	23
STEFAN	NA	MAYER	NA	1950	9	24
GERHARD	NA	LANGE	NA	1961	3	8
FRANK	NA	HAAS	NA	1957	3	9
FLORIAN	NA	MEIER	NA	2002	1	9
ALFRED	NA	ZIEGLER	NA	1946	4	11
STEFAN	NA	SCHULTE	NA	1995	3	22
HEINZ	NA	FISCHER	NA	1980	4	26
ANDREAS	NA	HEINRICH	NA	1947	9	6
HELMUT	NA	KLEIN	NA	1968	3	27
ANDREAS	NA	KLEIN	NA	1931	4	24
MANFRED	NA	MUELLER	NA	1927	3	20
HORST	NA	FISCHER	NA	1939	6	17
GERHARD	NA	BECKER	NA	1957	4	27
FRANK	NA	BAUER	NA	1996	4	16
UWE	NA	MAIER	NA	1935	2	28
CARSTEN	NA	SCHNEIDER	NA	1944	1	22
CARSTEN	NA	HARTMANN	NA	1962	2	18
THORSTEN	HEINZ	HUBER	NA	1947	12	26
KLAUS	NA	FISCHER	NA	1988	1	16
NILS	NA	LEHMANN	NA	1948	8	29
MARTIN	NA	MUELLDR	NA	1977	5	27
HEINZ	NA	HARTMANN	NA	1937	7	20
HORST	NA	MEYER	NA	1991	7	12
CARSTEN	NA	SCHAEFER	NA	2006	1	27
OLIVER	NA	FRANKE	NA	1944	9	14
MARTIN	NA	WEBER	NA	1929	9	20
KAI	NA	BRAUN	NA	1993	4	25
HELMUT	NA	MEYER	NA	1953	5	3
STEFAN	NA	BECKER	NA	2005	12	15
GERHARD	NA	KLEIN	NA	1931	5	16
MICHAEL	NA	HERRMANN	NA	2006	7	17
MARIO	NA	KAISER	NA	2006	9	17
JUERGEN	NA	PETERS	NA	1976	9	1
UWE	ANDREAS	POHL	NA	1999	4	27
ANDREAS	KLAUS	MEYER	NA	1982	5	23
SVEN	NA	SCHNEIDER	NA	1928	5	20
SVEN	NA	SCHWARZ	NA	1980	6	2
JUERGEN	NA	ERNST	NA	1950	6	18
DIETER	NA	SCHAEFER	NA	1952	12	12
GUENTHER	NA	THOMAS	NA	2004	2	17
THORSTEN	NA	BRAUN	NA	1946	2	13
HANS	NA	WEBER	NA	2008	5	23
FRIEDRICH	NA	MEYER	NA	1986	7	6
MANFRED	NA	MEYER	NA	1972	6	13
JOACHIM	NA	ENGEL	NA	1948	6	18
JUERGEN	NA	SCHMITZ	NA	1949	9	28
UWE	NA	LANG	NA	1973	10	31
JAN	NA	MARTIN	NA	1958	6	19
SEBASTIAN	NA	KRAUSE	NA	1989	1	6
MARTIN	NA	KOCH	NA	1944	11	30
DETLEF	NA	BUSCH	NA	1967	4	18
GERHARD	NA	WALTER	NA	1972	5	30
HERBERT	NA	BAUER	NA	2008	8	20
CARSTEN	NA	WAGNER	NA	1934	4	21
KLAUS	NA	WAGNER	NA	1955	6	23
WERNER	NA	FRANK	NA	1989	6	3
HELMUT	NA	RICHTER	NA	1941	5	21
JUERGEN	NA	MUELLER	NA	1956	3	7
ANDREAS	NA	SCHMITT	NA	1961	8	24
GERD	NA	HOFFMANN	NA	1992	0	8
ANDREANS	KARL	HOFMANN	NA	1954	12	19
ROLF	NA	MUELLER	NA	2000	4	29
MANFRESD	NA	FUCHS	NA	1956	7	18
PAUL	NA	SCHMITZ	NA	2004	7	15
WOLFGANG	NA	SCHMITZ	NA	1983	12	16
MICHAEL	DIETER	SCHAEFER	NA	1990	6	5
ANDREAS	BERND	KOEHLER	NA	2000	1	2
JOERG	NA	ZIMMERMANN	NA	1961	7	4
HERMANN	NA	KAISER	NA	1967	2	7
HEINZ	NA	SCHWARZ	NA	1968	9	30
GERHARD	WERNER	SCHULZ	NA	1937	10	20
MICHAEL	NA	KRUEGER	NA	1942	6	11
JUERGEN	NA	ZIMMERMANN	NA	1971	2	9
THOMAS	NA	HOFFMANN	NA	2007	12	13
GERD	NA	SCHAEFER	NA	1963	1	11
OLAF	NA	BECK	NA	1975	1	31
JAN	NA	SCHAEFER	NA	1957	1	24
CHRISTIAN	NA	KRUEGER	NA	1933	8	15
DIETER	NA	MEYER	NA	1953	12	17
KLAUS	HEINRICH	KUHN	NA	1986	3	26
JOERG	NA	WEBER	NA	1999	6	13
DIETER	NA	JAEGER	NA	2008	3	26
HOLGER	NA	STEIN	NA	1959	10	13
GUENTHER	ULRICH	SCHROEDER	NA	2008	11	3
BERND	NA	KOCH	NA	2007	8	17
HELMUT	NA	LANGE	NA	1994	3	17
PETER	NA	FRANK	NA	1990	5	2
STEFAN	NA	KRUEGER	NA	1939	8	29
CHRISTIAN	NA	KLEIN	NA	1954	5	15
KURT	NA	FRIEDRICH	NA	1967	6	20
HERMANN	NA	HEINRICH	NA	2003	11	17
HEINRICH	NA	MUELLER	NA	2002	1	10
ANDREAS	NA	BECK	NA	1969	7	9
OLAF	NA	HOFFMANN	NA	1931	6	9
KLAUS	NA	BRAUN	NA	1934	11	25
GEORG	NA	HOFFMANN	NA	1928	8	5
WOLFGANG	NA	FISCHER	NA	1967	2	26
BERND	NA	SCHAEFER	NA	1952	9	9
HORST	NA	FRIEDRICH	NA	1996	6	19
MICHAEL	HARALD	KOEHLER	NA	1948	10	27
MAWIK	NA	BERGER	NA	1978	6	13
RUDOLF	NA	THOMAS	NA	1995	7	22
HERMANN	NA	KOCH	NA	1925	7	7
GUENTHER	KURT	LANGE	NA	1986	1	7
HERMANN	NA	WEBER	NA	1958	4	22
KLAUS	NA	MEYER	NA	1946	10	21
MATTHIAS	NA	BECKER	NA	1940	7	17
FRANK	NA	KRUEGER	NA	1952	8	5
HELMUT	NA	MEYER	NA	1960	12	19
WERNER	NA	SCHMIDT	NA	1965	10	19
RAINER	NA	WEBER	NA	1995	3	22
KLAUS	NA	THOMAS	NA	1997	1	8
MARTIN	NA	ERNST	NA	1942	5	15
WERNER	NA	SCHULZ	NA	1959	6	23
WOLFGANG	NA	SCHULZE	WINTER	1931	9	18
WERNER	NA	SCHMIDT	NA	1953	8	24
JENS	NA	SCHMIDT	NA	1995	12	20
OTTO	NA	SCHMITZ	NA	1942	2	11
JAN	NA	MUELLER	NA	1988	3	20
MAIK	NA	SCHULZE	NA	1961	1	15
FRANK	NA	LEHMANN	NA	1952	8	18
HEINZ	NA	SCHROEDER	NA	1945	5	4
OLIVER	NA	HERRMANN	NA	1934	2	9
GERHARD	NA	HOFFMANN	NA	1960	8	25
GUENTHER	NA	MARTIN	NA	1968	5	16
UWE	NA	SCHULZ	NA	1962	5	27
JAN	NA	WOLFF	NA	2008	9	17
RAINER	THORSTEN	WERNER	NA	1939	10	17
STEFAN	NA	SCHWARZ	NA	1963	10	26
BERNHARD	NA	ZIEGLER	NA	1926	7	26
RALF	NA	BRAUN	NA	1943	10	20
HEINRICH	NA	MUELLER	NA	1977	12	26
HORSZT	NA	SCHWARZ	NA	9185	10	14
DIETER	NA	BAUER	NA	1979	5	22
JAN	NA	WERNER	NA	1955	10	19
THOMAS	NA	MUELKER	NA	1962	12	12
GERHARD	NA	SCHMIDT	NA	1974	2	19
HEINZ	NA	MUELLER	NA	1946	3	28
FRANK	NA	SCHROEDER	NA	1952	4	18
OLAF	NA	HARTMANN	NA	1974	1	15
VOLKER	NA	RICHTER	NA	1960	8	18
PETER	NA	SCHNEIDER	NA	1956	3	4
MARCEL	NA	NEUMANN	NA	1931	9	21
MATTHIAS	NA	MEIER	NA	1985	12	30
CHRISTOPH	NA	SCHMIDT	NA	2001	12	24
RALF	NA	MEYER	NA	1978	8	25
SVEN	NA	MUELLER	NA	1950	3	16
SVEN	NA	WERNER	NA	1978	12	27
DIRK	NA	SCHUBERT	NA	1981	4	25
CHRISTOPH	NA	MEIER	NA	1985	6	22
JUERGEN	NA	MEYER	NA	1976	5	15
JUERGEN	NA	LANGE	NA	1969	5	25
OTTO	NA	FRIEDRICH	NA	1944	7	3
JUERGEN	NA	SCHMITT	NA	2001	11	24
MARCO	NA	KRUEGER	NA	1981	6	21
WERNER	NA	JAEGER	NA	1960	11	25
UWE	NA	HARTMANN	NA	2007	8	22
FRANK	NA	JUNG	NA	1976	1	29
DENNIS	NA	LANGE	NA	1998	5	15
RAINER	NA	FISCHER	NA	1979	10	26
KLAUS	PETER	SCHMID	NA	2007	11	27
UWE	NA	MUELLER	NA	1965	7	2
HERMANN	NA	KUHN	NA	1985	7	4
HORST	NA	FRANK	NA	1942	2	24
JUERGEN	NA	SCHMID	NA	1943	9	3
KLAUS	NA	SCHWARZ	NA	1975	12	11
SIEGFRIED	NA	MOELLER	NA	1942	1	19
ANDREAS	NA	SEIDEL	NA	2005	6	30
ERICH	NA	MEIAR	NA	1974	5	3
KLAUS	NA	SEIDEL	NA	1979	8	21
ANDRE	NA	FISCHER	NA	1976	8	29
WERNER	NA	DIETRICH	NA	1934	1	24
HERMANN	GERHARD	HUBER	NA	2007	5	8
MARK	NA	BRAUN	NA	1962	1	26
JUERGEN	NA	BECKER	NA	1946	7	13
RAINER	NA	VOGEL	NA	2003	11	17
RAINER	NA	BAUER	NA	1989	4	20
PETER	NA	MUELLER	NA	1937	8	10
RAINER	JUERGEN	SCHMIDT	NA	1932	8	19
WOLFGANG	NA	ROTH	NA	1986	12	13
UWE	NA	KRAUSE	NA	2007	6	10
KLAUS	THOMAS	MUELLER	NA	1960	3	16
GERHARD	NA	WEBER	NA	1996	1	20
GERD	ANDREAS	SCHMIDT	NA	1966	1	4
THOMAS	NA	SCHMIDT	NA	2006	3	30
MICHAEL	NA	KELLER	NA	1984	8	4
JOERG	NA	KOEHLER	NA	1971	5	26
